,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition,beta
0,1,Ti-23Nb-10Zr-2.0Fe,Ti0.7791Fe0.0234Zr0.0617Nb0.1358,1,10.1007/s10853-021-06002-0,salvador2021,1,0,0,1860.0,90.0,79.0,1.0,782.0,62.0,,,10.0,1.0,252.0,8.0,12.88,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7791 Fe0.0234 Zr0.0617 Nb0.1358,1
1,2,Ti-27Nb-10Zr-1.5Fe,Ti0.7575Fe0.0156Zr0.0637Nb0.1632,1,10.1007/s10853-021-06002-0,salvador2021,1,1,0,1400.0,60.0,78.0,3.0,735.0,94.0,,,9.0,1.0,229.0,2.0,11.65,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7575 Fe0.0156 Zr0.0637 Nb0.1632,1
2,3,Ti-31Nb-10Zr-1.0Fe,Ti0.7298Fe0.0138Zr0.0664Nb0.1899,1,10.1007/s10853-021-06002-0,salvador2021,1,0,0,1310.0,60.0,77.0,2.0,672.0,99.0,,,15.0,6.0,218.0,5.0,12.08,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7298 Fe0.0138 Zr0.0664 Nb0.1899,1
3,4,Ti-11Nb-7Zr-3.5Fe,Ti0.8622Fe0.0349Zr0.041Nb0.0618,2,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1640.0,100.0,90.0,2.0,1011.0,17.0,,,4.0,1.0,358.0,3.0,13.78,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8622 Fe0.0349 Zr0.041 Nb0.0618,1
4,5,Ti-19Nb-6Sn-2.5Fe,Ti0.8376Fe0.0256Nb0.11Sn0.0268,2,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1280.0,70.0,71.0,2.0,765.0,10.0,,,31.0,5.0,260.0,9.0,12.76,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8376 Fe0.0256 Nb0.11 Sn0.0268,1
5,6,Ti-19Nb-10Zr-2.5Fe,Ti0.7974Fe0.027Zr0.0619Nb0.1137,2,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1570.0,70.0,69.0,1.0,1027.0,33.0,,,8.0,2.0,267.0,3.0,13.12,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.7974 Fe0.027 Zr0.0619 Nb0.1137,1
6,7,Ti-31Nb-1.0Fe,Ti0.8085Fe0.011Nb0.1805,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1400.0,,81.0,3.0,477.0,79.0,,,-32.0,,230.0,11.0,11.55,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8085 Fe0.011 Nb0.1805,1
7,8,Ti-27Nb-1.5Fe,Ti0.8254Fe0.0162Nb0.1584,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1300.0,,94.0,2.0,496.0,31.0,,,-33.0,,277.0,16.0,12.23,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8254 Fe0.0162 Nb0.1584,1
8,9,Ti-23Nb-2.0Fe,Ti0.8458Fe0.0217Nb0.1325,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1300.0,,95.0,5.0,604.0,55.0,,,-34.0,,314.0,6.0,12.89,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8458 Fe0.0217 Nb0.1325,1
9,10,Ti-19Nb-2.5Fe,Ti0.8707Fe0.0254Nb0.1039,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1600.0,,90.0,3.0,672.0,77.0,,,-32.0,,334.0,4.0,12.92,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8707 Fe0.0254 Nb0.1039,1
