,formula,A,B,known,vA,vB,rA,rB,lattice,Hf,stability,muB,vol,gap,Ev,dR,dV,EnegA,EnegB,dEneg,gA,gB,pA,pB,Goldschmidt
0,Ac2O3,Ac,Ac,False,,,1.12,1.12,cubic,-2.732,0.848,0.0,20.836,0.332,3.15,0.0,,1.1,1.1,0.0,3.0,3.0,7,7,0.7071067811865475
1,AcAgO3,Ac,Ag,False,,,1.12,0.95,orthorhombic,-1.957,-0.055,0.0,14.485,0.0,0.817,0.17000000000000015,,1.1,1.93,-0.8299999999999998,3.0,11.0,7,5,0.7614996105085896
2,AcAlO3,Ac,Al,False,,,1.12,0.54,cubic,-3.532,-0.11,0.0,11.487,4.307,6.695,0.5800000000000001,,1.1,1.61,-0.51,3.0,13.0,7,3,0.9349522995688794
3,AcAsO3,Ac,As,False,,,1.12,0.52,orthorhombic,-2.398,0.224,0.0,14.355,0.0,3.634,0.6000000000000001,,1.1,2.18,-1.08,3.0,15.0,7,4,0.9454573815865073
4,AcAuO3,Ac,Au,False,,,1.12,0.93,orthorhombic,-2.006,-0.056,0.0,15.19,0.745,0.807,0.19000000000000006,,1.1,2.54,-1.44,3.0,11.0,7,6,0.7684539448511338
5,AcBO3,Ac,B,False,,,1.12,0.27,cubic,-2.316,0.786,0.0,10.075,1.071,4.163,0.8500000000000001,,1.1,2.04,-0.94,3.0,13.0,7,2,1.0999438818457405
6,AcBaO3,Ac,Ba,False,,,1.12,1.35,orthorhombic,-2.741,0.221,0.2,20.944,0.0,-1.771,-0.22999999999999998,,1.1,0.89,0.21000000000000008,3.0,2.0,7,6,0.6447946893578478
7,AcBeO3,Ac,Be,False,,,1.12,0.45,cubic,-2.715,0.262,0.183,10.639,0.0,-0.08,0.6700000000000002,,1.1,1.57,-0.47,3.0,2.0,7,2,0.9841603153356625
8,AcBiO3,Ac,Bi,False,,,1.12,0.9,orthorhombic,-2.5,0.027,0.0,17.182,1.639,2.653,0.22000000000000008,,1.1,2.02,-0.9199999999999999,3.0,15.0,7,6,0.7791269163073995
9,AcCaO3,Ac,Ca,False,,,1.12,1.0,orthorhombic,-2.964,0.117,0.2,15.873,0.0,-1.025,0.1200000000000001,,1.1,1.0,0.10000000000000009,3.0,2.0,7,4,0.7446522739929129
10,AcCdO3,Ac,Cd,False,,,1.12,0.95,orthorhombic,-2.224,0.061,0.0,15.094,0.0,0.264,0.17000000000000015,,1.1,1.69,-0.5899999999999999,3.0,12.0,7,5,0.7614996105085896
11,AcCeO3,Ac,Ce,False,,,1.12,0.94,cubic,-2.864,0.686,0.0,19.228,1.439,4.197,0.18000000000000016,,1.1,1.12,-0.020000000000000018,3.0,,7,6,0.7649609723745376
12,AcCoO3,Ac,Co,False,,,1.12,0.63,rhombohedral,-2.426,-0.01,0.592,11.94,0.0,3.33,0.4900000000000001,,1.1,1.88,-0.7799999999999998,3.0,9.0,7,4,0.8904307614941708
13,AcCrO3,Ac,Cr,False,,,1.12,0.58,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.121,0.5400000000000001,,1.1,1.66,-0.5599999999999998,3.0,6.0,7,4,0.9146272495782516
14,AcCsO3,Ac,Cs,False,,,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0.0,-1.411,-0.5499999999999998,,1.1,0.79,0.31000000000000005,3.0,1.0,7,6,0.5743734263563083
15,AcCuO3,Ac,Cu,False,,,1.12,0.68,orthorhombic,-2.241,-0.077,0.0,11.892,0.0,1.596,0.44000000000000006,,1.1,1.9,-0.7999999999999998,3.0,11.0,7,4,0.8674815150639087
16,AcDyO3,Ac,Dy,False,,,1.12,0.99,orthorhombic,-3.712,0.002,0.0,15.895,4.542,5.48,0.13000000000000012,,1.1,1.22,-0.11999999999999988,3.0,,7,6,0.7479618396551034
17,AcErO3,Ac,Er,False,,,1.12,0.89,orthorhombic,-3.748,-0.01,0.0,15.547,4.544,5.682,0.2300000000000001,,1.1,1.24,-0.1399999999999999,3.0,,7,6,0.7827507624297595
18,AcEuO3,Ac,Eu,False,,,1.12,1.06,orthorhombic,-3.04,0.108,0.2,16.695,0.0,-0.381,0.06000000000000005,,1.1,1.2,-0.09999999999999987,3.0,,7,6,0.7253940255275787
19,AcFeO3,Ac,Fe,False,,,1.12,0.67,orthorhombic,-2.731,-0.116,1.0,12.687,0.906,4.135,0.45000000000000007,,1.1,1.83,-0.73,3.0,8.0,7,4,0.8719762379398875
20,AcGaO3,Ac,Ga,False,,,1.12,0.62,orthorhombic,-2.914,-0.073,0.0,12.393,3.174,5.294,0.5000000000000001,,1.1,1.81,-0.71,3.0,13.0,7,4,0.8951670953319059
21,AcGdO3,Ac,Gd,False,,,1.12,0.94,orthorhombic,-3.67,0.016,0.0,16.276,4.335,5.268,0.18000000000000016,,1.1,1.2,-0.09999999999999987,3.0,,7,6,0.7649609723745376
22,AcGeO3,Ac,Ge,False,,,1.12,0.63,orthorhombic,-2.547,0.093,0.0,13.62,0.0,3.511,0.4900000000000001,,1.1,2.01,-0.9099999999999997,3.0,14.0,7,4,0.8904307614941708
23,AcHfO3,Ac,Hf,False,,,1.12,0.71,orthorhombic,-3.414,0.104,0.0,14.273,0.0,5.504,0.41000000000000014,,1.1,1.3,-0.19999999999999996,3.0,4.0,7,6,0.8542711366619203
24,AcHgO3,Ac,Hg,False,,,1.12,1.11,orthorhombic,-1.951,0.021,0.0,15.992,0.0,0.336,0.010000000000000009,,1.1,2.0,-0.8999999999999999,3.0,12.0,7,6,0.7100903541029464
25,AcHoO3,Ac,Ho,False,,,1.12,0.9,orthorhombic,-3.731,-0.004,0.0,15.716,4.552,5.577,0.22000000000000008,,1.1,1.23,-0.1299999999999999,3.0,,7,6,0.7791269163073995
26,AcInO3,Ac,In,False,,,1.12,0.8,orthorhombic,-2.748,-0.036,0.0,14.775,2.695,3.988,0.32000000000000006,,1.1,1.78,-0.6799999999999999,3.0,13.0,7,5,0.8169486112737782
27,AcIrO3,Ac,Ir,False,,,1.12,0.63,orthorhombic,-2.194,0.075,0.0,13.405,0.754,1.277,0.4900000000000001,,1.1,2.2,-1.1,3.0,9.0,7,6,0.8904307614941708
28,AcKO3,Ac,K,False,,,1.12,1.38,orthorhombic,-1.973,0.394,0.4,19.767,0.0,-2.742,-0.2599999999999998,,1.1,0.82,0.28000000000000014,3.0,1.0,7,4,0.6374674769787815
29,AcLaO3,Ac,La,False,,,1.12,1.03,cubic,-2.983,0.663,0.0,18.986,1.423,4.187,0.09000000000000008,,1.1,1.1,0.0,3.0,3.0,7,6,0.7348970040279401
30,AcLiO3,Ac,Li,False,,,1.12,0.76,cubic,-2.248,0.223,0.399,11.628,0.0,-0.334,0.3600000000000001,,1.1,0.98,0.1200000000000001,3.0,1.0,7,2,0.8331258114970213
31,AcLuO3,Ac,Lu,False,,,1.12,0.86,orthorhombic,-3.793,-0.022,0.0,15.05,4.709,5.945,0.2600000000000001,,1.1,1.27,-0.16999999999999993,3.0,,7,6,0.793827424162256
32,AcMgO3,Ac,Mg,False,,,1.12,0.72,rhombohedral,-2.898,0.079,0.201,12.717,0.0,,0.40000000000000013,,1.1,1.31,-0.20999999999999996,3.0,2.0,7,3,0.8499566359717086
33,AcMnO3,Ac,Mn,False,,,1.12,0.62,orthorhombic,-2.918,-0.12,0.8,12.612,0.0,4.094,0.5000000000000001,,1.1,1.55,-0.44999999999999996,3.0,7.0,7,4,0.8951670953319059
34,AcMoO3,Ac,Mo,False,,,1.12,0.62,orthorhombic,-2.638,0.121,0.403,13.687,0.0,4.549,0.5000000000000001,,1.1,2.16,-1.06,3.0,6.0,7,5,0.8951670953319059
35,AcNaO3,Ac,Na,False,,,1.12,1.02,cubic,-1.826,0.544,0.4,13.679,0.0,,0.10000000000000009,,1.1,0.93,0.17000000000000004,3.0,1.0,7,3,0.7381202365017469
36,AcNbO3,Ac,Nb,False,,,1.12,0.68,orthorhombic,-2.955,0.081,0.001,13.985,0.0,4.946,0.44000000000000006,,1.1,1.6,-0.5,3.0,5.0,7,5,0.8674815150639087
37,AcNdO3,Ac,Nd,False,,,1.12,0.98,cubic,-3.029,0.571,0.0,18.259,1.828,4.679,0.14000000000000012,,1.1,1.14,-0.039999999999999813,3.0,,7,6,0.7513009550107066
38,AcNiO3,Ac,Ni,False,,,1.12,0.59,orthorhombic,-2.365,-0.077,0.2,11.833,0.0,1.575,0.5300000000000001,,1.1,1.91,-0.8099999999999998,3.0,10.0,7,4,0.9096833184994503
39,AcNpO3,Ac,Np,False,,,1.12,0.86,cubic,-3.018,0.512,0.794,18.186,0.0,4.396,0.2600000000000001,,1.1,1.36,-0.26,3.0,,7,7,0.793827424162256
40,AcOsO3,Ac,Os,False,,,1.12,0.57,orthorhombic,-2.146,0.167,0.109,13.292,0.0,2.322,0.5500000000000002,,1.1,2.2,-1.1,3.0,8.0,7,6,0.919625212690701
41,AcPaO3,Ac,Pa,False,,,1.12,0.91,cubic,-2.693,0.491,0.241,18.517,0.0,4.095,0.21000000000000008,,1.1,1.5,-0.3999999999999999,3.0,,7,7,0.7755364696884715
42,AcPbO3,Ac,Pb,False,,,1.12,0.99,orthorhombic,-2.369,0.038,0.0,16.738,0.0,1.255,0.13000000000000012,,1.1,2.33,-1.23,3.0,14.0,7,6,0.7479618396551034
43,AcPdO3,Ac,Pd,False,,,1.12,0.75,orthorhombic,-2.171,-0.122,0.0,13.678,0.0,1.499,0.3700000000000001,,1.1,2.2,-1.1,3.0,10.0,7,5,0.8372707160318325
44,AcPmO3,Ac,Pm,False,,,1.12,0.97,cubic,-3.111,0.518,0.0,17.814,2.014,4.845,0.15000000000000013,,1.1,1.13,-0.029999999999999805,3.0,,7,6,0.75467001758923
45,AcPrO3,Ac,Pr,False,,,1.12,0.92,cubic,-2.953,0.625,0.0,18.704,1.649,4.449,0.20000000000000007,,1.1,1.13,-0.029999999999999805,3.0,,7,6,0.7719789629467811
46,AcPtO3,Ac,Pt,False,,,1.12,0.67,orthorhombic,-2.101,0.037,0.0,14.009,0.0,1.204,0.45000000000000007,,1.1,2.28,-1.1799999999999997,3.0,10.0,7,6,0.8719762379398875
47,AcPuO3,Ac,Pu,False,,,1.12,0.83,cubic,-3.005,0.602,0.942,17.512,0.0,3.324,0.29000000000000015,,1.1,1.28,-0.17999999999999994,3.0,,7,7,0.805222076183724
48,AcRbO3,Ac,Rb,False,,,1.12,1.52,orthorhombic,-1.914,0.444,0.0,20.923,0.599,-2.002,-0.3999999999999999,,1.1,0.82,0.28000000000000014,3.0,1.0,7,5,0.6053647982820082
49,AcReO3,Ac,Re,False,,,1.12,0.57,orthorhombic,-2.286,0.273,0.215,13.361,0.0,2.924,0.5500000000000002,,1.1,1.9,-0.7999999999999998,3.0,7.0,7,6,0.919625212690701
50,AcRhO3,Ac,Rh,False,,,1.12,0.61,orthorhombic,-2.334,-0.077,0.0,13.23,0.604,1.899,0.5100000000000001,,1.1,2.28,-1.1799999999999997,3.0,9.0,7,5,0.8999540851465149
51,AcRuO3,Ac,Ru,False,,,1.12,0.62,orthorhombic,-2.345,0.015,0.197,13.161,0.0,2.787,0.5000000000000001,,1.1,2.2,-1.1,3.0,8.0,7,5,0.8951670953319059
52,AcSbO3,Ac,Sb,False,,,1.12,0.68,orthorhombic,-2.465,0.114,0.0,16.31,0.296,2.835,0.44000000000000006,,1.1,2.05,-0.9499999999999997,3.0,15.0,7,5,0.8674815150639087
53,AcScO3,Ac,Sc,False,,,1.12,0.75,orthorhombic,-3.762,-0.068,0.0,13.854,4.099,6.193,0.3700000000000001,,1.1,1.36,-0.26,3.0,3.0,7,4,0.8372707160318325
54,AcSiO3,Ac,Si,False,,,1.12,0.4,tetragonal,-2.778,0.395,0.0,12.758,0.0,4.34,0.7200000000000001,,1.1,1.9,-0.7999999999999998,3.0,14.0,7,3,1.0138036983277006
55,AcSmO3,Ac,Sm,False,,,1.12,0.96,orthorhombic,-3.608,0.033,0.0,16.756,4.287,4.949,0.16000000000000014,,1.1,1.17,-0.06999999999999984,3.0,,7,6,0.7580694320828752
56,AcSnO3,Ac,Sn,False,,,1.12,0.69,orthorhombic,-2.582,0.101,0.0,15.772,0.0,3.025,0.43000000000000016,,1.1,1.96,-0.8599999999999999,3.0,14.0,7,5,0.8630328919097348
57,AcSrO3,Ac,Sr,False,,,1.12,1.18,cubic,-2.247,0.78,-0.006,17.587,0.0,-1.505,-0.05999999999999983,,1.1,0.95,0.15000000000000013,3.0,2.0,7,5,0.6897189095180258
